epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,62.8891,1.76459,2.21472,1.64972,0.72456,0.70083,0.79223,0.42567,1.49585,1.27906,1.58686,0.000414692,0.000414692,0.000414692
2,112.358,1.6093,1.33833,1.57682,0.69577,0.60913,0.67683,0.36205,1.65975,1.92555,1.80311,0.000823128,0.000823128,0.000823128
3,160.508,1.58977,1.26471,1.58825,0.82212,0.84688,0.87609,0.50125,1.46371,1.07059,1.64154,0.00122331,0.00122331,0.00122331
4,211.677,1.55207,1.20269,1.57694,0.78725,0.83241,0.87679,0.51876,1.39075,1.07332,1.591,0.00121287,0.00121287,0.00121287
5,265.873,1.4897,1.1132,1.52247,0.85401,0.8508,0.93069,0.54326,1.39119,0.86257,1.5504,0.0012005,0.0012005,0.0012005
6,319.477,1.44129,1.05999,1.48992,0.86601,0.92953,0.96217,0.60759,1.29703,0.78301,1.48089,0.00118812,0.00118812,0.00118812
7,375.836,1.39663,1.01755,1.46158,0.88757,0.84409,0.92137,0.57852,1.25092,0.85415,1.47053,0.00117575,0.00117575,0.00117575
8,431.13,1.35169,0.96713,1.43369,0.84406,0.9018,0.94225,0.60771,1.24449,0.7969,1.47089,0.00116337,0.00116337,0.00116337
9,487.348,1.321,0.93992,1.41928,0.90554,0.91294,0.95268,0.59996,1.25439,0.72054,1.45527,0.001151,0.001151,0.001151
10,542.81,1.29865,0.89806,1.39554,0.88283,0.87654,0.94345,0.60351,1.23839,0.79732,1.46049,0.00113863,0.00113863,0.00113863
11,599.234,1.27111,0.87967,1.38616,0.924,0.91641,0.96114,0.63943,1.21442,0.71037,1.44051,0.00112625,0.00112625,0.00112625
12,655.237,1.23658,0.84686,1.3549,0.92081,0.94253,0.95394,0.65496,1.13313,0.67907,1.3926,0.00111388,0.00111388,0.00111388
13,710.68,1.23161,0.82281,1.35605,0.90776,0.93337,0.95122,0.66184,1.1397,0.66924,1.37229,0.0011015,0.0011015,0.0011015
14,766.619,1.20702,0.80868,1.33674,0.91976,0.95529,0.9685,0.6842,1.0886,0.64926,1.35148,0.00108913,0.00108913,0.00108913
15,826.307,1.16319,0.76902,1.30703,0.94489,0.94284,0.97801,0.70068,1.07058,0.59462,1.33719,0.00107675,0.00107675,0.00107675
16,882.403,1.15413,0.7533,1.29816,0.91375,0.94397,0.96014,0.67972,1.07002,0.62628,1.34613,0.00106437,0.00106437,0.00106437
17,938.119,1.15155,0.73979,1.28946,0.95767,0.93513,0.96537,0.67303,1.07203,0.61208,1.37147,0.001052,0.001052,0.001052
18,994.311,1.12714,0.72084,1.28206,0.92932,0.95082,0.9757,0.71658,0.98663,0.56734,1.27867,0.00103962,0.00103962,0.00103962
19,1049.6,1.10438,0.70351,1.26065,0.93947,0.96272,0.97874,0.72025,1.00851,0.53145,1.32758,0.00102725,0.00102725,0.00102725
20,1104.88,1.09406,0.70967,1.26671,0.94643,0.95963,0.97404,0.70616,1.02742,0.52762,1.30509,0.00101488,0.00101488,0.00101488
21,1160.54,1.08647,0.68863,1.26295,0.96427,0.97925,0.98647,0.7427,0.96205,0.49486,1.28038,0.0010025,0.0010025,0.0010025
22,1216.8,1.06032,0.67349,1.24454,0.95468,0.97092,0.98717,0.73869,0.96259,0.51659,1.27422,0.000990125,0.000990125,0.000990125
23,1273.19,1.05324,0.66117,1.23712,0.88527,0.95686,0.96715,0.7453,0.91416,0.56976,1.24798,0.00097775,0.00097775,0.00097775
24,1328.43,1.0371,0.65026,1.23071,0.89297,0.96391,0.96099,0.7038,1.01474,0.57912,1.28184,0.000965375,0.000965375,0.000965375
25,1384.52,1.02148,0.64378,1.22052,0.93735,0.95393,0.9736,0.73781,0.94202,0.52179,1.25742,0.000953,0.000953,0.000953
26,1440.39,1.03154,0.63759,1.22508,0.9686,0.9758,0.98732,0.75526,0.95846,0.47527,1.27394,0.000940625,0.000940625,0.000940625
27,1505.73,0.98805,0.60409,1.19955,0.97046,0.95807,0.98706,0.73628,0.95213,0.47814,1.24035,0.00092825,0.00092825,0.00092825
28,1577.93,0.98276,0.6107,1.19346,0.96628,0.96249,0.98394,0.7453,0.95981,0.4914,1.25882,0.000915875,0.000915875,0.000915875
29,1663.09,0.98756,0.61087,1.18906,0.9669,0.97606,0.9873,0.77258,0.88511,0.45003,1.2178,0.0009035,0.0009035,0.0009035
30,1729.52,0.95375,0.58843,1.18347,0.98449,0.97481,0.99022,0.76999,0.89812,0.43081,1.23005,0.000891125,0.000891125,0.000891125
31,1779.41,0.95535,0.58503,1.17497,0.98863,0.97439,0.98893,0.7794,0.87791,0.42884,1.21376,0.00087875,0.00087875,0.00087875
32,1834.97,0.93242,0.58028,1.16296,0.96812,0.97766,0.9888,0.77022,0.86347,0.44476,1.19882,0.000866375,0.000866375,0.000866375
33,1891.05,0.92832,0.57573,1.16208,0.97774,0.97587,0.98261,0.77191,0.88683,0.42755,1.22592,0.000854,0.000854,0.000854
